add-none,2,100000,400000,3134197,7,-24516
add-none,4,100,800,3134197,3917,0
add-none,4,1000,8000,3134197,391,464
add-none,4,10000,80000,3134197,39,-1816
add-none,4,100000,800000,3134197,3,-45089
add-none,8,100,1600,3134197,1958,0
add-none,8,1000,16000,3134197,195,-356
add-none,8,10000,160000,3134197,19,-1888
add-none,8,100000,1600000,3134197,1,-42109
add-none,12,100,2400,3134197,1305,0
add-none,12,1000,24000,3134197,130,-344
add-none,12,10000,240000,3134197,13,-1708
add-none,12,100000,2400000,3134197,1,-23688
add-yield-none,2,10,40,3134198,78354,7
add-yield-none,4,10,80,3134198,39177,4
add-yield-none,8,10,160,3134198,19588,5
add-yield-none,12,10,240,3134198,13059,14
add-yield-none,2,20,80,3134198,39177,0
add-yield-none,4,20,160,3134198,19588,21
add-yield-none,8,20,320,3134198,9794,15
add-yield-none,12,20,480,3134198,6529,68
add-yield-none,2,40,160,3134198,19588,13
add-yield-none,4,40,320,3134198,9794,30
add-yield-none,8,40,640,3134198,4897,25
add-yield-none,12,40,960,3134198,3264,112
add-yield-none,2,80,320,3134198,9794,12
add-yield-none,4,80,640,3134198,4897,27
add-yield-none,8,80,1280,3134198,2448,66
add-yield-none,12,80,1920,3134198,1632,178
add-yield-none,2,100,400,3134198,7835,30
add-yield-none,4,100,800,3134198,3917,29
add-yield-none,8,100,1600,3134198,1958,108
add-yield-none,12,100,2400,3134198,1305,146
add-yield-none,2,1000,4000,3134198,783,59
add-yield-none,4,1000,8000,3134198,391,29
add-yield-none,8,1000,16000,3134198,195,139
add-yield-none,12,1000,24000,3134198,130,163
add-yield-none,2,10000,40000,3134198,78,8
add-yield-none,4,10000,80000,3134198,39,0
add-yield-none,8,10000,160000,3134198,19,89
add-yield-none,12,10000,240000,3134198,13,-178
add-yield-none,2,100000,400000,3134198,7,14
add-yield-none,4,100000,800000,3134198,3,-1220
add-yield-none,8,100000,1600000,3134198,1,-6742
add-yield-none,12,100000,2400000,3134198,1,-1699
add-none,1,100,200,3134199,15670,0
add-none,1,1000,2000,3134199,1567,0
add-none,1,10000,20000,3134199,156,0
add-none,1,100000,200000,3134199,15,0
